x,y,z,A,B,C,T,delta_ms
988.531,-198.182,577.726,-3.1297,0.0239628,-2.61167,1749200676091,4
988.534,-198.175,577.711,-3.12967,0.0238656,-2.61173,1749200676095,4
988.541,-198.167,577.697,-3.12965,0.0237782,-2.61179,1749200676099,4
988.552,-198.157,577.683,-3.12962,0.0237117,-2.61183,1749200676103,4
988.566,-198.146,577.669,-3.12961,0.0236687,-2.61187,1749200676107,4
988.583,-198.134,577.656,-3.1296,0.0236393,-2.6119,1749200676111,4
988.6,-198.121,577.642,-3.1296,0.0236204,-2.61193,1749200676115,4
988.621,-198.108,577.625,-3.1296,0.0236228,-2.61196,1749200676119,4
988.643,-198.1,577.612,-3.12961,0.0236541,-2.61199,1749200676123,4
988.667,-198.097,577.605,-3.12962,0.0237066,-2.61201,1749200676127,4
988.693,-198.094,577.6,-3.12964,0.0237805,-2.61203,1749200676131,4
988.723,-198.091,577.594,-3.12966,0.0238759,-2.61204,1749200676135,4
988.753,-198.088,577.591,-3.12968,0.0239869,-2.61204,1749200676139,4
988.779,-198.089,577.592,-3.12969,0.0240939,-2.61204,1749200676143,4
988.804,-198.094,577.596,-3.12971,0.0242032,-2.61205,1749200676147,4
988.831,-198.101,577.599,-3.12973,0.0243216,-2.61203,1749200676151,4
988.859,-198.107,577.599,-3.12975,0.0244425,-2.61202,1749200676155,4
988.887,-198.109,577.593,-3.12977,0.0245602,-2.612,1749200676159,4
988.914,-198.107,577.583,-3.12979,0.024672,-2.61198,1749200676163,4
988.939,-198.105,577.573,-3.12979,0.02477,-2.61196,1749200676167,4
988.959,-198.101,577.561,-3.12978,0.0248444,-2.61193,1749200676171,4
988.974,-198.094,577.549,-3.12975,0.0248954,-2.6119,1749200676175,4
988.986,-198.086,577.535,-3.12971,0.0249246,-2.61187,1749200676179,4
988.993,-198.077,577.519,-3.12966,0.0249213,-2.61186,1749200676183,4
988.996,-198.066,577.502,-3.1296,0.024889,-2.61185,1749200676187,4
988.996,-198.053,577.482,-3.12953,0.0248333,-2.61185,1749200676191,4
988.992,-198.035,577.461,-3.12943,0.0247572,-2.61185,1749200676195,4
988.984,-198.01,577.44,-3.12931,0.0246533,-2.61187,1749200676199,4
988.972,-197.978,577.422,-3.12917,0.0245359,-2.61189,1749200676203,4
988.956,-197.943,577.403,-3.12903,0.0244164,-2.61192,1749200676207,4
988.941,-197.907,577.386,-3.12888,0.0242934,-2.61196,1749200676211,4
988.924,-197.868,577.368,-3.12872,0.0241671,-2.61199,1749200676215,4
988.906,-197.828,577.35,-3.12856,0.0240439,-2.61203,1749200676219,4
988.889,-197.784,577.33,-3.12841,0.0239437,-2.61207,1749200676223,4
988.876,-197.736,577.31,-3.12826,0.0238677,-2.6121,1749200676227,4
988.868,-197.686,577.29,-3.12811,0.0238153,-2.61213,1749200676231,4
988.864,-197.634,577.271,-3.12796,0.0237901,-2.61216,1749200676235,4
988.864,-197.579,577.254,-3.12781,0.0237911,-2.6122,1749200676239,4
988.872,-197.52,577.235,-3.12766,0.0238208,-2.61223,1749200676243,4
988.888,-197.459,577.215,-3.12752,0.0238844,-2.61226,1749200676247,4
988.912,-197.395,577.196,-3.12739,0.0239804,-2.6123,1749200676251,4
988.94,-197.329,577.178,-3.12727,0.0241017,-2.61234,1749200676255,4
988.969,-197.265,577.164,-3.12714,0.0242351,-2.61239,1749200676259,4
988.998,-197.204,577.155,-3.12702,0.0243778,-2.61244,1749200676263,4
989.028,-197.144,577.15,-3.12689,0.0245267,-2.61249,1749200676267,4
989.057,-197.082,577.149,-3.12678,0.0246765,-2.61256,1749200676271,4
989.083,-197.019,577.15,-3.12667,0.0248144,-2.61262,1749200676275,4
989.104,-196.955,577.156,-3.12657,0.0249259,-2.61269,1749200676279,4
989.12,-196.893,577.163,-3.12648,0.0250061,-2.61276,1749200676283,4
989.135,-196.832,577.172,-3.12638,0.0250718,-2.61282,1749200676287,4
989.147,-196.771,577.182,-3.12629,0.0251243,-2.61289,1749200676291,4
989.155,-196.709,577.194,-3.1262,0.0251636,-2.61295,1749200676295,4
989.161,-196.648,577.208,-3.12611,0.0251832,-2.61301,1749200676299,4
989.164,-196.585,577.224,-3.12602,0.025181,-2.61308,1749200676303,4
989.161,-196.519,577.242,-3.12593,0.0251493,-2.61314,1749200676307,4
989.149,-196.446,577.262,-3.12585,0.0250872,-2.61319,1749200676311,4
989.133,-196.371,577.279,-3.12576,0.0250077,-2.61322,1749200676315,4
989.113,-196.296,577.292,-3.12567,0.0249108,-2.61325,1749200676319,4
989.086,-196.22,577.306,-3.12558,0.0247934,-2.61327,1749200676323,4
989.049,-196.139,577.325,-3.12548,0.0246553,-2.61329,1749200676327,4
989.007,-196.051,577.345,-3.12538,0.0245027,-2.61328,1749200676331,4
988.961,-195.962,577.367,-3.12527,0.0243379,-2.61327,1749200676335,4
988.914,-195.869,577.386,-3.12518,0.024169,-2.61326,1749200676339,4
988.868,-195.771,577.403,-3.12508,0.024002,-2.61323,1749200676343,4
988.825,-195.666,577.418,-3.12499,0.0238434,-2.61319,1749200676347,4
988.783,-195.558,577.435,-3.12491,0.0237002,-2.61313,1749200676351,4
988.743,-195.447,577.454,-3.12484,0.0235816,-2.61307,1749200676355,4
988.71,-195.334,577.471,-3.12477,0.0234948,-2.61298,1749200676359,4
988.682,-195.217,577.487,-3.12471,0.0234333,-2.61289,1749200676363,4
988.657,-195.094,577.504,-3.12465,0.0233863,-2.61278,1749200676367,4
988.634,-194.965,577.525,-3.12461,0.023359,-2.61267,1749200676371,4
988.612,-194.831,577.546,-3.12457,0.0233487,-2.61255,1749200676375,4
988.591,-194.693,577.568,-3.12453,0.0233545,-2.61241,1749200676379,4
988.569,-194.551,577.59,-3.1245,0.0233749,-2.61227,1749200676383,4
988.551,-194.408,577.614,-3.12447,0.0234115,-2.61213,1749200676387,4
988.536,-194.264,577.641,-3.12445,0.0234663,-2.612,1749200676391,4
988.522,-194.116,577.674,-3.12444,0.0235236,-2.61187,1749200676395,4
988.508,-193.963,577.714,-3.12442,0.0235832,-2.61175,1749200676399,4
988.495,-193.804,577.757,-3.12442,0.0236441,-2.61164,1749200676403,4
988.485,-193.645,577.799,-3.12443,0.0237064,-2.61154,1749200676407,4
988.475,-193.482,577.845,-3.12445,0.0237634,-2.61145,1749200676411,4
988.462,-193.315,577.896,-3.12447,0.0238152,-2.61137,1749200676415,4
988.443,-193.146,577.958,-3.12451,0.0238619,-2.61128,1749200676419,4
988.419,-192.975,578.029,-3.12454,0.0238989,-2.6112,1749200676423,4
988.389,-192.801,578.104,-3.12459,0.0239189,-2.61111,1749200676427,4
988.356,-192.624,578.183,-3.12465,0.0239242,-2.61102,1749200676431,4
988.321,-192.446,578.265,-3.12471,0.0239191,-2.61092,1749200676435,4
988.282,-192.265,578.35,-3.12478,0.0239066,-2.61081,1749200676439,4
988.234,-192.084,578.443,-3.12485,0.0238785,-2.61069,1749200676443,4
988.178,-191.904,578.54,-3.12492,0.0238295,-2.61056,1749200676447,4
988.116,-191.722,578.638,-3.12499,0.0237592,-2.61042,1749200676451,4
988.053,-191.537,578.74,-3.12506,0.0236718,-2.61027,1749200676455,4
987.986,-191.344,578.843,-3.12513,0.0235682,-2.61011,1749200676459,4
987.915,-191.144,578.943,-3.12521,0.0234497,-2.60994,1749200676463,4
987.842,-190.937,579.042,-3.12527,0.0233232,-2.60974,1749200676467,4
987.767,-190.723,579.141,-3.12533,0.0231896,-2.60952,1749200676471,4
987.69,-190.5,579.241,-3.12538,0.0230495,-2.60927,1749200676475,4
987.611,-190.267,579.339,-3.12542,0.0229052,-2.609,1749200676479,4
987.531,-190.025,579.438,-3.12544,0.0227597,-2.60871,1749200676483,4
987.449,-189.774,579.542,-3.12544,0.022615,-2.60839,1749200676487,4
987.368,-189.516,579.645,-3.12543,0.0224764,-2.60806,1749200676491,4
987.289,-189.252,579.748,-3.1254,0.0223422,-2.60772,1749200676495,4
987.215,-188.974,579.846,-3.12535,0.0222135,-2.60737,1749200676499,4
987.145,-188.68,579.94,-3.12528,0.0220953,-2.60702,1749200676503,4
987.077,-188.375,580.035,-3.12519,0.0219909,-2.60665,1749200676507,4
987.011,-188.064,580.131,-3.1251,0.0218978,-2.60629,1749200676511,4
986.946,-187.747,580.23,-3.12501,0.0218124,-2.60592,1749200676515,4
986.881,-187.419,580.33,-3.12491,0.0217327,-2.60554,1749200676519,4
986.821,-187.078,580.43,-3.12482,0.0216677,-2.60517,1749200676523,4
986.767,-186.725,580.529,-3.12472,0.021619,-2.60479,1749200676527,4
986.717,-186.364,580.628,-3.12463,0.0215817,-2.60441,1749200676531,4
986.666,-185.989,580.723,-3.12454,0.0215507,-2.60401,1749200676535,4
986.615,-185.601,580.816,-3.12447,0.021525,-2.60361,1749200676539,4
986.566,-185.207,580.915,-3.1244,0.0215049,-2.6032,1749200676543,4
986.519,-184.808,581.018,-3.12434,0.0214886,-2.60278,1749200676547,4
986.473,-184.405,581.121,-3.1243,0.0214747,-2.60238,1749200676551,4
986.426,-183.997,581.226,-3.12426,0.021462,-2.60198,1749200676555,4
986.379,-183.585,581.337,-3.12424,0.0214459,-2.60158,1749200676559,4
986.333,-183.168,581.45,-3.12423,0.0214236,-2.60117,1749200676563,4
986.286,-182.747,581.564,-3.12423,0.0213932,-2.60076,1749200676567,4
986.239,-182.316,581.678,-3.12424,0.0213559,-2.60034,1749200676571,4
986.188,-181.874,581.79,-3.12426,0.0213144,-2.5999,1749200676575,4
986.134,-181.422,581.899,-3.12429,0.02127,-2.59945,1749200676579,4
986.076,-180.966,582.007,-3.12432,0.0212188,-2.599,1749200676583,4
986.017,-180.503,582.112,-3.12436,0.0211605,-2.59853,1749200676587,4
985.957,-180.029,582.215,-3.12439,0.0210976,-2.59804,1749200676591,4
985.896,-179.544,582.314,-3.12442,0.0210302,-2.59754,1749200676595,4
985.836,-179.054,582.41,-3.12444,0.0209601,-2.59703,1749200676599,4
985.776,-178.557,582.505,-3.12446,0.0208876,-2.5965,1749200676603,4
985.716,-178.049,582.597,-3.12448,0.0208115,-2.59597,1749200676607,4
985.655,-177.53,582.686,-3.1245,0.0207308,-2.59542,1749200676611,4
985.596,-177.006,582.779,-3.12451,0.0206489,-2.59485,1749200676615,4
985.535,-176.482,582.873,-3.12451,0.0205695,-2.59428,1749200676619,4
985.473,-175.951,582.962,-3.12452,0.0204925,-2.59371,1749200676623,4
985.411,-175.411,583.049,-3.12452,0.0204131,-2.59314,1749200676627,4
985.348,-174.862,583.135,-3.12453,0.0203302,-2.59255,1749200676631,4
985.285,-174.303,583.217,-3.12453,0.0202498,-2.59196,1749200676635,4
985.22,-173.735,583.297,-3.12453,0.0201763,-2.59135,1749200676639,4
985.154,-173.156,583.372,-3.12452,0.020106,-2.59074,1749200676643,4
985.087,-172.566,583.445,-3.12451,0.0200373,-2.59011,1749200676647,4
985.022,-171.967,583.519,-3.12448,0.0199707,-2.58947,1749200676651,4
984.96,-171.357,583.596,-3.12444,0.0199052,-2.58884,1749200676655,4
984.902,-170.739,583.673,-3.12439,0.0198407,-2.58819,1749200676659,4
984.849,-170.111,583.75,-3.12433,0.0197783,-2.58754,1749200676663,4
984.797,-169.468,583.825,-3.12424,0.0197193,-2.58689,1749200676667,4
984.746,-168.801,583.898,-3.12412,0.0196639,-2.58623,1749200676671,4
984.697,-168.122,583.969,-3.12397,0.0196119,-2.58557,1749200676675,4
984.65,-167.431,584.037,-3.12381,0.0195633,-2.58492,1749200676679,4
984.604,-166.73,584.104,-3.12363,0.0195196,-2.58426,1749200676683,4
984.561,-166.015,584.171,-3.12343,0.0194827,-2.58361,1749200676687,4
984.52,-165.286,584.233,-3.12321,0.0194547,-2.58295,1749200676691,4
984.483,-164.544,584.287,-3.12298,0.0194366,-2.5823,1749200676695,4
984.451,-163.786,584.337,-3.12273,0.0194249,-2.58165,1749200676699,4
984.423,-163.018,584.389,-3.12248,0.019417,-2.58098,1749200676703,4
984.397,-162.242,584.438,-3.12221,0.0194183,-2.58031,1749200676707,4
984.374,-161.459,584.487,-3.12194,0.0194304,-2.57963,1749200676711,4
984.353,-160.668,584.534,-3.12166,0.019447,-2.57894,1749200676715,4
984.338,-159.861,584.583,-3.12137,0.0194624,-2.57823,1749200676719,4
984.328,-159.044,584.634,-3.12108,0.0194833,-2.5775,1749200676723,4
984.32,-158.22,584.68,-3.12079,0.0195183,-2.57678,1749200676727,4
984.313,-157.393,584.718,-3.1205,0.0195669,-2.57606,1749200676731,4
984.306,-156.557,584.752,-3.12021,0.0196233,-2.57533,1749200676735,4
984.299,-155.711,584.784,-3.11993,0.0196848,-2.5746,1749200676739,4
984.292,-154.855,584.815,-3.11964,0.0197507,-2.57386,1749200676743,4
984.286,-153.998,584.845,-3.11938,0.0198192,-2.57312,1749200676747,4
984.28,-153.151,584.874,-3.11913,0.0198852,-2.57238,1749200676751,4
984.274,-152.299,584.903,-3.11888,0.019952,-2.57163,1749200676755,4
984.269,-151.443,584.936,-3.11863,0.0200203,-2.57088,1749200676759,4
984.264,-150.592,584.977,-3.11839,0.0200882,-2.57012,1749200676763,4
984.259,-149.748,585.02,-3.11814,0.0201566,-2.56936,1749200676767,4
984.256,-148.908,585.066,-3.1179,0.0202274,-2.56859,1749200676771,4
984.252,-148.071,585.121,-3.11765,0.0202992,-2.56781,1749200676775,4
984.247,-147.233,585.186,-3.11739,0.0203725,-2.56703,1749200676779,4
984.244,-146.388,585.252,-3.11712,0.0204504,-2.56623,1749200676783,4
984.243,-145.534,585.319,-3.11684,0.0205327,-2.56543,1749200676787,4
984.245,-144.672,585.386,-3.11654,0.0206168,-2.56462,1749200676791,4
984.248,-143.805,585.454,-3.11623,0.0207018,-2.56382,1749200676795,4
984.25,-142.941,585.516,-3.11591,0.0207927,-2.56303,1749200676799,4
